product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
đong ho thong minh ama watch s2 nam nu chong nuoc ket noi bluetooth goi đien thoai theo doi suc khoe van đong man hinh cong tran vien hang nhap khau,1286000,5,4.8,131,1,đong ho thong minh,257
đong ho thong minh lap sim 4g nghe goi nho gon co rung đinh vi gps wifi chong nuoc tot pin khoe 700mah goi video call cho tre em 4 5 tuoi hoc sinh tieu hoc cap 1 2 3 ama smartwatch fa83 hang nhap khau,1373000,17,4.2,5,1,đong ho thong minh,35
đong ho thong minh co rung ama watch fa85 phien ban mini đinh wifi cho tre em hoc sinh nam nu hang nhap khau,1056000,16,5.0,2,1,đong ho thong minh,57
camera tp-link tapo c310 wi-fi an ninh ngoai troi 3mp,574000,12,3.6,1,1,camera an ninh,7
camera wifi tp-link tapo c510w c520ws an ninh quayquet 360 đo chong nuoc,580000,61,5.0,11,1,camera an ninh,65
camera ai đen an ninh cuvo la620w,3940000,1,5.0,5,1,camera an ninh,5
camera ip wifi tp-link tapo c200 full hd 1080p giam sat an ninh,336000,16,4.7,3,1,camera an ninh,52
camera wifi tp-link tapo c500 an ninh quayquet ngoai troi,819000,6,5.0,3,1,camera an ninh,16
camera ip wifi tp-link tapo c200 tapo c70 full hd 1080p giam sat an ninh,285000,58,4.8,569,1,camera an ninh,2000
camera wifi tp-link tapo c310 3mp an ninh ngoai troi,654000,9,4.8,6,1,camera an ninh,14
camera wifi tp-link tapo c510w an ninh quayquet 360 đo chong nuoc,649000,7,5.0,7,1,camera an ninh,44
camera wifi ai tp-link tapo c225 an ninh gia đinh quayquet,1005000,5,4.0,2,1,camera an ninh,5
camera wi-fi tp-link tapo c200 1080p (2mp) an ninh gia đinh co the đieu chinh huong,364000,15,4.7,47,1,camera an ninh,170
camera wifi tp-link tapo c210 đo phan giai 3mp luu tru 256gb giam sat an ninh,516800,13,5.0,2,1,camera an ninh,22
camera an ninh đo phan giai 2k tich hop micro truyen am thanh tren cap đong truc hikvision ds-2ce16h0t-itpfs,630000,7,3.9,3,1,camera an ninh,6
camera an ninh đo phan giai 2k tich hop micro truyen am thanh tren cap đong truc hikvision ds-2ce16h0t-itfs,678000,7,4.2,1,1,camera an ninh,4
camera ezviz c1c-b 1080p camera ip wifi trong nha thong minh chinh hang nha an toan,424000,13,4.5,4,1,camera an ninh,13
camera imou a1 camera xoay 360 ai phat hien nguoi mang trap rieng tu 2mp,555750,12,4.7,3,1,camera an ninh,5
camera wifi imou trong nha c22ep 1080p đam thoai 2 chieu,414000,14,4.7,3,1,camera an ninh,22
camera hikvision ds-2ce56h0t-itmf 50 megapixel hang nhap khau,600000,8,3.6,1,1,camera an ninh,1
camera imou cue 2 camera wifi đo phan giai 2 megapixel đam thoai 2 chieu phat hien nguoi bang ai thong minh,370000,43,5.0,11,1,camera an ninh,62
camera wifi yoosee 2 mat ngoai troi xem 2 man hinh cung luc giam sat ngoai troi chong nuoc ip66 - hang nhap khau,380000,15,4.5,16,1,camera an ninh,108
camera yoosee trong nha the he moi ban đem co mau đam thoai hai chieu full hd 1080p-hang nhap khau,248999,17,3.9,1,1,camera an ninh,2
may hut bui co hoc chua philips xb202301 (1800w),1697050,38,5.0,38,1,may hut bui,140
may hut bui locklock env336blk (400w),2184800,39,4.7,1289,1,may hut bui,4000
may hut bui cam tay khong day 9000pa hut bui o to giuong nem sofa laptop,239000,17,4.5,129,1,may hut bui,548
may hut bui cong nghiep tiross ts9301 - dung tich 32 lit - san xuat tai malaysia - 3 chuc nang hut kho - uot - thoi bui,2096000,2,5.0,1,1,may hut bui,1
may hut bui cam tay 2 chieu hang nhap khau cao cap (giao mau ngau nhien ),451000,10,4.8,18,1,may hut bui,57
may hut bui deerma dx115c ( hang nhap khau ),474050,31,4.6,14,1,may hut bui,55
may hut bui philips fc957001,3323000,17,4.4,1,1,may hut bui,9
may hut bui kho va uot hiclean hc30 (thung inox chong gi dung tich 30l),2425000,2,4.7,19,1,may hut bui,61
may hut bui mini cam tay deerma,483550,30,5.0,2,1,may hut bui,91
may hut bui sumika k30 mau vang 30l 1800w hut nuoc hut bui thoi bui day đien dai 10m thung chua inox khong gi,2089000,2,4.6,25,1,may hut bui,48
may hut bui kho va uot hiclean hc15p (dung tich 15l 1500w),1966000,2,4.5,11,1,may hut bui,38
